user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score
114841417@N06,12068804204_085d553238_o.jpg,481,"(60, 100)",f,1141,780,975,976,0,0,118
114841417@N06,12078357226_5fdd9367de_o.jpg,483,"(4, 6)",f,1788,341,306,306,-10,0,168
114841417@N06,12019067874_0e988248af_o.jpg,483,"(4, 6)",f,3,183,932,777,-115,0,27
114841417@N06,12060557503_813b9599be_o.jpg,483,"(4, 6)",f,857,1157,357,357,-90,-15,12
114841417@N06,12059865494_dace7a1325_o.jpg,485,"(8, 13)",f,1346,294,1001,1001,10,0,102
114841417@N06,12101458663_c5be3d6a8f_o.jpg,483,"(4, 6)",f,0,1051,307,351,-110,-15,14
114841417@N06,12061744626_215481e333_o.jpg,486,"(15, 20)",f,1735,729,287,287,-10,0,89
114841417@N06,12061744626_215481e333_o.jpg,483,"(4, 6)",f,2033,852,242,242,-10,0,82
114841417@N06,12059875396_f5c3a70550_o.jpg,488,"(15, 20)",f,344,1083,752,753,-85,0,103
114841417@N06,12059875396_f5c3a70550_o.jpg,485,"(8, 13)",f,415,444,702,701,-95,30,160
114841417@N06,12060036015_e7c827be8d_o.jpg,486,"(15, 20)",f,210,231,544,545,-75,0,81
114841417@N06,12101188123_0c9af893c9_o.jpg,485,"(8, 13)",f,2027,772,669,670,280,15,172
114841417@N06,12019308623_196c7fd19b_o.jpg,483,"(4, 6)",f,1045,84,548,548,-10,30,10
114841417@N06,12056392065_2b8d9a757a_o.jpg,485,"(8, 13)",f,258,675,1695,1696,-70,-30,44
114841417@N06,12019511266_45314bb42b_o.jpg,485,"(8, 13)",f,639,871,637,638,-85,0,91
114841417@N06,12059995593_632d96aca7_o.jpg,485,"(8, 13)",f,242,300,412,412,-100,0,88
114841417@N06,12061403516_dac4f79269_o.jpg,483,"(4, 6)",f,874,1031,440,440,-90,30,7
114841417@N06,12079987055_e242b73aa1_o.jpg,483,"(4, 6)",f,2210,1343,242,242,5,15,81
114841417@N06,12060970675_f9f9180169_o.jpg,486,"(15, 20)",f,1735,729,287,287,-10,0,89
114841417@N06,12060970675_f9f9180169_o.jpg,483,"(4, 6)",f,2033,852,242,242,-10,0,82
114841417@N06,12059995564_3e347b45bd_o.jpg,483,"(4, 6)",f,27,47,1727,1728,-95,0,85
114841417@N06,12101763726_1d11b44823_o.jpg,485,"(8, 13)",f,1566,790,529,529,-15,0,104
