user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score
115321157@N03,12111738395_a7f715aa4e_o.jpg,1744,"(4, 6)",m,663,997,637,638,-95,0,129
115321157@N03,12112413505_0aea8e17c6_o.jpg,1745,"(48, 53)",m,505,846,433,433,-95,0,72
115321157@N03,12112392255_995532c2f0_o.jpg,1744,"(4, 6)",m,517,1185,383,383,0,0,70
115321157@N03,12112392255_995532c2f0_o.jpg,1746,"(25, 32)",m,2247,688,376,376,0,30,67
115321157@N03,12112392255_995532c2f0_o.jpg,1747,"(25, 32)",m,1421,667,325,325,0,0,102
115321157@N03,12111055306_38d54c12ff_o.jpg,1747,"(25, 32)",m,513,247,2205,2201,-95,0,107
115321157@N03,12119809715_efb705d9bf_o.jpg,1744,"(4, 6)",m,640,596,1237,1236,-100,30,46
115321157@N03,12113086695_1962742774_o.jpg,1744,"(4, 6)",m,704,809,1135,1135,-100,0,101
115321157@N03,12110347765_b8bb6fed6e_o.jpg,1747,"(25, 32)",m,246,346,684,614,-85,0,75
115321157@N03,12120008724_81dc81b103_o.jpg,1744,"(4, 6)",m,441,879,1039,1039,-105,30,97
115321157@N03,12120183513_070b6c677c_o.jpg,1747,"(25, 32)",m,725,497,937,937,-70,30,128
115321157@N03,12112793214_c8a93a8aa2_o.jpg,1744,"(4, 6)",m,48,0,1232,960,-95,0,41
115321157@N03,12122286096_b89c88efc6_o.jpg,1744,"(4, 6)",m,1047,935,433,434,-105,30,104
115321157@N03,12110382715_bb0193c359_o.jpg,1747,"(25, 32)",m,431,1225,1231,1223,-95,0,75
115321157@N03,12119891043_aae1a6f6de_o.jpg,1744,"(4, 6)",m,698,882,694,695,-105,0,103
115321157@N03,12120213594_0f07b3f4ed_o.jpg,1744,"(4, 6)",m,656,1437,867,867,-70,-15,16
115321157@N03,12112755563_388aecd6a1_o.jpg,1747,"(25, 32)",m,648,36,1275,1275,-100,0,93
115321157@N03,12110803894_f8e8d05f5f_o.jpg,1747,"(25, 32)",m,1938,661,306,306,-5,0,152
115321157@N03,12113084426_0438f67c9a_o.jpg,1745,"(48, 53)",m,1069,506,465,466,-85,0,44
115321157@N03,12113084426_0438f67c9a_o.jpg,1744,"(4, 6)",m,1182,232,376,376,-85,0,68
115321157@N03,12113084426_0438f67c9a_o.jpg,1752,"(15, 20)",m,508,1734,338,337,-90,-30,137
115321157@N03,12112055063_e256619bf4_o.jpg,1744,"(4, 6)",m,694,924,517,516,-95,-15,13
115321157@N03,12119902023_bb49e9b241_o.jpg,1753,"(38, 43)",m,2683,666,287,287,-10,0,103
115321157@N03,12119902023_bb49e9b241_o.jpg,1755,"(4, 6)",m,918,623,261,261,-10,0,176
115321157@N03,12119902023_bb49e9b241_o.jpg,1744,"(4, 6)",m,945,1158,255,255,-5,0,126
115321157@N03,12119902023_bb49e9b241_o.jpg,1761,"(4, 6)",m,2306,1083,242,243,-15,-30,151
115321157@N03,12119902023_bb49e9b241_o.jpg,1764,"(4, 6)",m,2443,723,242,242,0,0,106
115321157@N03,12119902023_bb49e9b241_o.jpg,1765,"(4, 6)",m,2103,680,243,242,5,0,98
115321157@N03,12113492194_aa0987d8a5_o.jpg,1744,"(4, 6)",m,627,750,810,810,-95,0,124
115321157@N03,12113057886_6c7e88a718_o.jpg,1744,"(4, 6)",m,321,0,852,842,-95,0,49
115321157@N03,12120161853_589ac76c3e_o.jpg,1747,"(25, 32)",m,36,812,1619,1620,-85,-30,66
115321157@N03,12113104116_69deb9bd58_o.jpg,1747,"(25, 32)",m,1224,323,969,969,20,15,44
115321157@N03,12113399863_633fabd0ce_o.jpg,1747,"(25, 32)",m,984,1211,479,478,-95,0,158
115321157@N03,12113399863_633fabd0ce_o.jpg,1744,"(4, 6)",m,1394,857,421,421,-70,15,71
115321157@N03,12112140784_3882a0f255_o.jpg,1766,"(8, 13)",m,1614,1086,274,275,5,-30,71
115321157@N03,12120267326_8e9fde49b3_o.jpg,1744,"(4, 6)",m,257,0,1023,960,-5,30,69
115321157@N03,12112719603_d96d576383_o.jpg,1747,"(25, 32)",m,776,857,746,746,-85,0,98
115321157@N03,12112719603_d96d576383_o.jpg,1744,"(4, 6)",m,1643,647,637,637,-105,0,64
115321157@N03,12113053496_58dbddd0a5_o.jpg,1746,"(25, 32)",m,2298,685,389,389,0,0,68
115321157@N03,12113053496_58dbddd0a5_o.jpg,1744,"(4, 6)",m,580,1227,344,344,0,0,45
115321157@N03,12113053496_58dbddd0a5_o.jpg,1747,"(25, 32)",m,1453,682,325,325,5,0,105
115321157@N03,12112013733_e4c8fd28e0_o.jpg,1747,"(25, 32)",m,186,741,969,969,-95,0,178
115321157@N03,12112840394_00d1dcff8f_o.jpg,1747,"(25, 32)",m,1133,302,969,969,20,15,30
115321157@N03,12119853485_a5b793a16a_o.jpg,1747,"(25, 32)",m,809,66,1262,1263,-5,0,80
115321157@N03,12121614695_fecaa52d44_o.jpg,1744,"(4, 6)",m,580,360,296,296,-5,0,55
115321157@N03,12111055746_2c478c9d49_o.jpg,1747,"(25, 32)",m,667,408,1938,1938,-105,0,30
115321157@N03,12119630205_a7db75a25a_o.jpg,1744,"(4, 6)",m,0,162,1353,1371,-85,0,103
115321157@N03,12113091206_850d37727d_o.jpg,1752,"(15, 20)",m,468,1061,593,593,-100,0,100
115321157@N03,12120274266_f29962757b_o.jpg,1753,"(38, 43)",m,2722,666,261,261,-10,0,131
115321157@N03,12120274266_f29962757b_o.jpg,1744,"(4, 6)",m,924,1152,242,242,-25,0,137
115321157@N03,12120274266_f29962757b_o.jpg,1764,"(4, 6)",m,2440,733,242,242,-5,0,85
115321157@N03,12120274266_f29962757b_o.jpg,1770,"(4, 6)",m,1228,723,243,242,-5,0,82
115321157@N03,12120274266_f29962757b_o.jpg,1755,"(4, 6)",m,927,635,242,243,0,0,169
115321157@N03,12120515046_a21cd03bb9_o.jpg,1747,"(25, 32)",m,661,70,1339,1338,-20,0,86
115321157@N03,12121907473_d1e8643a03_o.jpg,1744,"(4, 6)",m,419,290,382,382,-20,0,87
115321157@N03,12113065956_ae7837d673_o.jpg,1747,"(25, 32)",m,2221,334,676,676,-5,30,89
115321157@N03,12112419326_7c3c338323_o.jpg,1744,"(4, 6)",m,608,675,1454,1454,-95,0,137
115321157@N03,12112823904_5b6678b186_o.jpg,1744,"(4, 6)",m,1174,602,293,293,-90,0,76
